ID,LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,default.payment.next.month
1380,140000,2,2,1,44,2,0,0,-1,1,2,12720,13851,14089,14425,16800,17927,45,4128,1570,14425,567,11,0
1381,60000,1,3,1,33,-1,0,3,-1,2,4,7322,6837,7403,7862,7906,8284,7322,865,136,7862,127,369,0
1382,40000,1,2,2,24,2,1,-2,1,0,1,3511,3466,3386,3283,3370,2769,61,53,203,121,497,106,1
1383,130000,2,2,2,29,-1,2,0,3,-2,0,38377,42466,43954,43188,48242,45449,38377,1263,8676,712,1567,5408,0
1384,180000,1,1,1,31,-1,5,-1,3,4,1,6515,6685,6536,6875,7196,7367,6515,29,6536,44,22,320,0
1385,140000,2,2,2,32,0,6,1,-1,-1,0,87550,87283,77802,71828,71950,70073,19291,1699,725,71828,71950,4646,0
1386,110000,1,4,2,25,2,-1,4,-1,0,1,21340,21935,22342,26772,25323,23026,275,21935,70,26772,4061,652,0
1387,160000,2,4,1,26,1,5,0,-1,-1,0,73419,66653,65917,70253,74242,82179,1418,2913,9791,70253,74242,15240,0
1388,430000,1,2,2,57,-1,4,2,-1,0,0,55518,61445,62720,60712,60251,59569,55518,328,1709,60712,16654,5557,0
1389,150000,2,2,2,38,-1,-1,0,0,-1,-2,9507,8965,8425,8076,8919,7960,9507,8965,855,1860,8919,278,0
1390,600000,2,3,1,31,0,-1,1,3,-1,1,421100,398496,449939,504752,470344,456160,31070,398496,1809,22707,470344,7867,0
1391,120000,1,2,1,38,1,2,1,0,-1,1,11904,11824,12801,14634,15159,17136,505,334,286,2253,15159,790,0
1392,120000,1,1,2,36,0,1,3,5,2,0,1626,1492,1308,1307,1107,965,125,12,48,59,18,169,0
1393,160000,1,2,1,27,0,3,1,3,3,2,108585,99992,93637,107932,120941,128374,21090,2888,3898,509,1411,6223,0
1394,30000,2,3,1,21,1,2,3,6,2,0,10364,9455,8460,7938,7435,8113,205,258,421,291,170,2073,0
1395,150000,1,2,2,30,0,3,0,0,1,4,5993,5612,5731,4907,5305,5542,499,180,872,482,259,27,0
1396,70000,2,2,1,33,3,0,-1,0,-1,1,23663,21657,22942,21048,20839,21089,1092,1561,22942,4220,20839,510,0
1397,220000,2,2,2,34,0,0,2,0,0,0,36941,36099,32111,36336,35747,31616,4806,10051,953,10669,5454,8322,0
1398,90000,1,1,1,21,-1,3,0,0,3,1,42247,44142,41511,35597,36858,41196,42247,1794,4161,2870,908,1934,0
1399,80000,2,1,1,58,-1,-1,2,0,0,2,23326,23368,24861,26682,24248,26375,23326,23368,550,2295,1500,942,0
1400,150000,2,4,2,57,-2,2,-1,-2,0,-2,80180,87574,92683,92521,101912,96384,2670,2484,92683,6321,9753,7316,0
1401,80000,1,2,2,39,-1,-1,-1,3,3,1,13742,13816,13214,12695,12585,12775,13742,13816,13214,351,569,272,0
1402,80000,1,1,2,35,1,0,0,2,-1,-1,14763,14446,12424,11952,12669,11753,662,2108,2895,443,12669,11753,1
1403,130000,1,3,2,30,-1,0,1,1,0,0,4991,4961,5187,5065,5136,5786,4991,437,213,197,1057,1211,0
1404,350000,2,2,2,40,0,0,3,0,3,-1,72205,79758,84076,84654,78813,85936,11728,4235,2391,20833,855,85936,0
1405,120000,2,3,1,34,-1,2,-1,-1,0,2,10772,10994,11234,11926,12124,12785,10772,93,11234,11926,906,263,0
1406,610000,2,2,1,47,0,3,0,0,0,1,64851,70740,70464,74046,81830,89678,15458,2233,6909,16441,18804,1121,0
1407,300000,2,1,1,43,1,-1,1,0,-2,0,196239,194267,155598,173977,152567,129300,4067,194267,3244,28626,11885,25967,0
1408,100000,2,2,1,27,3,4,0,-2,2,0,63323,64171,51100,55121,54935,60336,134,3015,2673,1640,1538,6364,1
1409,170000,2,4,1,29,-1,-1,0,0,0,2,53294,56042,51898,53254,53414,53491,53294,56042,4415,9912,6356,1761,0
1410,170000,2,1,1,44,-1,0,1,0,-1,5,81277,71956,70115,76583,70660,67897,81277,21356,1334,14555,70660,2714,0
1411,120000,1,3,1,41,0,-1,-1,0,1,2,14245,14029,15649,15404,15157,17132,1604,14029,15649,4449,628,65,0
1412,160000,1,1,1,25,2,6,2,-1,-1,0,66235,61517,57032,64495,66753,60101,1572,598,2166,64495,66753,11292,0
1413,70000,1,2,1,31,0,2,-1,0,3,-1,16841,19286,19615,19870,17610,18211,1299,871,19615,2734,146,18211,0
1414,310000,1,2,1,34,-1,-1,2,2,1,0,106917,97970,89960,82412,76318,78795,106917,97970,2759,3574,1749,17229,0
1415,140000,2,3,1,35,1,0,3,2,3,-1,25126,29858,33770,38079,40333,39027,898,5090,1279,496,1283,39027,0
1416,260000,2,2,1,34,2,3,1,0,2,-2,31421,30772,34663,30780,30196,28003,746,1040,1364,7819,281,1061,0
1417,90000,1,2,1,43,-1,0,0,-2,2,0,30457,30400,29012,25671,24965,26376,30457,4370,6693,659,119,4776,0
1418,510000,1,3,1,36,6,2,-1,5,5,-1,196235,194033,207113,245262,252104,263975,5100,5576,207113,11594,10393,263975,1
1419,110000,2,1,1,36,0,4,4,-1,0,7,3252,3454,3679,3513,3467,3268,414,89,43,3513,191,134,0
1420,80000,2,1,1,28,2,1,-1,-1,-1,6,24760,26790,27770,27127,23291,22520,1064,409,27770,27127,23291,401,1
1421,30000,1,1,2,37,-1,0,4,3,-1,-2,2471,2205,2151,2277,1831,2078,2471,616,55,71,1831,149,0
1422,150000,2,2,1,35,1,1,0,1,8,1,75890,73530,68225,67169,73203,87742,1055,2808,10720,1132,598,281,0
1423,220000,1,2,2,31,1,0,0,0,2,0,143489,137108,133568,149975,145165,145706,4655,32285,19472,9295,4049,26542,0
1424,240000,1,3,1,24,1,-1,0,3,-1,0,48210,49616,44111,43308,43065,39880,797,49616,12024,2134,43065,10489,0
1425,140000,2,2,1,47,0,2,0,0,1,-1,6258,5841,5982,5724,6492,6534,1268,181,886,895,71,6534,0
1426,70000,2,1,1,51,4,0,1,0,-1,3,35895,33834,29453,29479,26267,23095,1184,2999,1456,8382,26267,105,1
1427,400000,1,2,1,37,0,-2,0,3,2,-1,190546,186309,186645,168854,180392,190922,33186,5412,41631,5963,5922,190922,0
1428,110000,2,1,1,48,2,0,0,0,1,-1,72267,76204,68979,76636,71831,61992,2308,8994,14404,12173,2701,61992,0
1429,30000,2,3,2,37,1,-1,0,-1,0,0,20724,23007,22186,20265,19020,21028,961,23007,4308,20265,1020,3601,0
1430,120000,2,1,2,22,1,0,3,0,5,0,62640,61631,68592,68417,72916,71821,1037,14488,2193,9387,318,21201,0
1431,30000,2,1,1,38,1,2,0,-1,-1,-1,6986,7371,7621,7724,8201,8073,164,71,585,7724,8201,8073,0
1432,20000,2,2,1,32,3,0,5,-1,-1,0,7632,8029,7206,6192,5487,4978,4,1048,285,6192,5487,306,1
1433,90000,2,1,1,39,4,-1,-1,1,4,1,15718,15765,14316,15548,16668,15346,573,15765,14316,200,93,617,1
1434,60000,2,1,1,49,2,-2,4,-1,1,0,10659,10976,11493,12095,12574,12584,459,629,515,12095,299,1372,1
1435,90000,1,2,2,30,1,2,2,0,2,2,31268,31945,29052,29860,32427,33611,240,931,413,4945,600,1404,0
1436,120000,1,1,3,39,0,0,8,1,0,0,70375,67251,59749,68342,60120,60533,15526,18911,741,710,17278,10488,0
1437,60000,1,1,1,43,0,2,0,0,0,2,3963,4524,4547,4325,4583,4404,804,224,1232,340,927,49,0
1438,190000,2,1,2,47,-1,0,0,0,-1,-1,7969,7275,7644,8188,9058,8541,7969,1953,1749,893,9058,8541,0
1439,70000,1,2,2,44,0,4,-1,-1,0,6,5501,5803,6175,5737,6020,5983,383,280,6175,5737,1210,203,1
1440,90000,2,2,2,25,5,8,0,3,6,0,4794,5005,4711,4822,5504,6019,190,109,1257,210,151,1559,1
1441,170000,2,1,1,25,0,2,1,3,0,0,54317,52927,49605,49607,53803,55951,14905,959,1883,841,2947,10893,0
1442,410000,1,2,1,42,1,0,-1,1,-1,2,182210,197361,186505,210375,190953,188123,7203,31942,186505,3391,190953,8260,0
1443,90000,2,2,2,31,-2,0,0,-1,0,-1,66938,64000,63292,61168,56688,50368,3082,7841,7353,61168,12695,50368,0
1444,90000,2,2,2,26,0,3,-1,0,-1,0,36893,31709,31975,35978,41282,40049,6671,1195,31975,9636,41282,2449,0
1445,230000,2,2,2,46,3,1,-1,1,-1,4,74898,64355,56472,54552,55443,55685,744,3002,56472,1481,55443,980,0
1446,130000,1,1,2,32,4,0,0,2,0,1,19738,18790,19934,18263,16174,17690,879,1580,5671,311,3793,880,0
1447,130000,2,2,1,50,0,-1,3,-1,-2,2,1500,1371,1284,1262,1086,1231,106,1371,48,1262,35,45,0
1448,160000,2,3,3,31,0,1,0,1,8,0,59728,71845,60065,64049,72949,75715,14887,3021,17293,2773,1844,13339,0
1449,80000,2,2,1,28,-1,1,-1,-1,0,0,17022,16551,16624,17815,21719,23498,17022,654,16624,17815,2634,1602,0
1450,150000,2,1,1,34,0,2,0,1,8,0,19088,17933,17766,19711,21757,25405,1657,284,1134,46,118,5551,0
1451,560000,2,1,2,42,0,0,-1,-2,2,5,244589,262915,261254,248481,255217,217562,42757,52059,261254,22726,8798,7288,0
1452,120000,2,3,1,38,1,8,1,3,1,4,16120,15855,14125,14701,17272,18133,79,389,79,54,141,304,0
1453,550000,2,2,2,52,1,5,2,-1,1,-2,127688,135122,146309,140795,137915,143362,5424,1446,735,140795,5477,4803,1
1454,50000,2,1,1,37,3,3,3,0,4,-1,24106,24529,23617,24373,24236,24325,570,494,33,5288,100,24325,1
1455,110000,1,1,1,33,-2,1,-1,0,8,2,38241,37042,29985,29791,27822,26791,2981,956,29985,3329,1181,682,0
1456,130000,2,3,1,49,0,-1,-1,3,0,4,39674,35820,34045,33369,31537,32131,5039,35820,34045,144,7105,712,0
1457,50000,2,1,2,40,0,3,0,2,0,2,19487,19406,20510,20638,19501,18314,2136,639,2127,522,4531,567,0
1458,110000,2,2,1,31,3,0,0,1,-1,2,14632,14461,14594,15069,16827,16481,166,1007,746,654,16827,311,0
1459,80000,1,2,1,37,5,2,0,3,4,0,24729,27997,28065,25096,23285,23917,442,225,7016,788,643,4791,1
1460,80000,2,2,2,37,0,-1,3,-1,0,6,31045,28003,27327,28006,27830,28459,6604,28003,1318,28006,1413,336,0
1461,140000,1,1,1,33,2,0,0,1,8,2,51612,53744,57205,56482,65900,62644,1105,11075,14901,1816,2385,189,0
1462,400000,2,1,1,37,4,-1,1,1,0,3,251613,243688,228949,208857,182215,171078,10848,243688,3240,1068,43087,4375,0
1463,200000,1,3,2,23,0,0,0,1,0,-1,130441,142849,141611,146612,166233,157951,22834,40425,40416,2560,18853,157951,0
1464,230000,2,2,1,32,0,6,3,3,0,0,36748,38049,39728,44259,44878,43237,8963,1874,1511,94,4290,4236,0
1465,160000,2,2,2,39,2,0,-1,0,2,2,8539,8493,8591,9152,9538,10162,144,937,8591,1525,108,250,0
1466,70000,1,2,1,30,8,3,-2,0,-2,2,7200,7125,5841,6276,5833,6045,296,226,352,805,232,26,1
1467,120000,2,3,1,27,2,5,-2,0,-1,0,9202,8212,8250,8709,8683,8353,328,133,751,2040,8683,769,0
1468,130000,2,3,1,35,0,5,0,0,2,0,2997,2849,2691,2933,3163,3143,727,77,337,873,55,518,0
1469,110000,2,2,1,31,-1,0,3,2,2,0,646,650,709,723,736,705,646,66,20,23,17,127,0
1470,110000,2,1,2,23,1,5,0,0,5,3,55961,60795,59013,59420,60974,52036,747,197,17415,16282,724,1872,0
1471,190000,2,2,2,23,1,2,7,-1,2,-1,80334,74421,76966,82253,91965,77396,1637,403,3438,82253,3510,77396,0
1472,260000,2,2,1,39,0,0,0,1,1,2,53436,49555,45967,41406,39017,37496,12988,5094,8733,1411,994,132,0
1473,340000,2,2,1,36,0,0,-1,-2,2,2,231817,237232,207976,166657,168686,143328,31880,25584,207976,6920,316,2348,0
1474,130000,2,3,1,38,0,2,1,-1,8,3,107465,101186,101896,96499,104952,107735,15495,866,3811,96499,1549,2778,0
1475,330000,1,1,2,32,3,0,0,1,2,5,54918,54905,49743,51887,56383,58809,131,9632,9148,1794,2054,2684,0
1476,120000,2,1,2,21,0,-1,0,0,0,1,20886,21841,22273,21857,23262,20214,3181,21841,3030,5388,4842,490,1
1477,140000,2,2,1,27,2,5,0,-1,1,0,29651,31448,28424,28325,27574,28547,1251,1220,3365,28325,370,3369,1
1478,180000,2,1,1,32,0,0,3,-1,1,0,77975,79370,88287,92388,88461,74124,20489,20964,2104,92388,363,8207,0
1479,260000,2,2,2,39,6,1,2,0,7,0,17816,17313,18461,18314,17450,17440,421,558,645,5231,223,2757,1
1480,510000,2,3,2,21,1,1,-1,1,8,-1,42402,45486,42070,42294,45746,48617,979,1168,42070,537,395,48617,0
1481,60000,2,2,1,21,-2,3,0,2,-1,1,44759,49384,50023,51893,51865,56932,3598,929,6747,292,51865,2137,0
1482,110000,1,3,1,48,0,0,0,0,-1,0,10967,11571,10703,11052,11544,10848,2748,2885,918,2527,11544,1744,0
1483,190000,2,2,2,41,2,1,1,-1,-1,2,145777,158502,178475,176619,189703,172370,3163,1174,7162,176619,189703,6024,0
1484,60000,1,2,2,27,3,3,1,2,-1,-1,14384,14048,14591,13143,13397,12308,516,54,513,529,13397,12308,0
1485,50000,1,2,1,33,2,2,-1,2,5,2,12106,13923,13282,11601,12259,12511,267,562,13282,301,365,434,1
1486,120000,1,1,1,31,1,1,1,2,7,2,75435,68712,66970,59323,66744,71731,2355,2465,1338,2639,2932,2515,0
1487,70000,1,2,2,38,-1,2,0,0,1,0,20110,21228,20277,20509,18639,16038,20110,591,4685,5014,529,2937,0
1488,200000,2,1,1,30,-1,-1,0,1,-1,-1,373,395,386,399,360,374,373,395,29,19,360,374,0
1489,80000,1,4,2,24,0,0,0,-1,0,-1,11668,11142,11350,11461,10994,12483,1692,613,1802,11461,2212,12483,1
1490,190000,2,1,1,40,0,1,2,-1,0,1,160652,150469,128177,125831,125262,124329,20067,7433,2486,125831,27327,4704,1
1491,360000,1,1,2,52,1,0,2,0,-1,3,90241,87004,98885,103989,109113,101129,3277,22513,5,14448,109113,290,0
1492,510000,1,2,2,40,0,0,-1,4,5,-1,434680,400637,427582,417409,440891,363389,88796,45564,427582,7252,15428,363389,1
1493,160000,1,2,1,36,0,-1,0,1,0,-1,34338,32992,31541,26287,27248,25683,3658,32992,7994,22,6358,25683,0
1494,80000,1,1,1,33,-1,3,-1,0,4,-1,44239,45877,44351,45420,47594,50685,44239,613,44351,4820,1521,50685,0
1495,340000,2,1,1,28,3,-1,2,2,0,0,66820,58136,54903,57136,55146,63224,1078,58136,425,1181,7677,6473,0
1496,160000,2,2,2,31,1,-1,0,-1,1,-2,31296,27496,26962,29991,27893,31668,879,27496,7413,29991,236,1820,0
1497,160000,2,2,2,39,-1,-1,1,1,-1,2,22412,20209,20145,19339,19019,17043,22412,20209,44,918,19019,333,0
1498,190000,2,1,1,46,-1,-2,-1,0,1,0,58338,53678,49868,56298,65912,70024,58338,3539,49868,6362,1364,13510,0
1499,60000,1,2,1,46,2,0,1,1,-1,0,16690,15567,13855,13229,14231,14947,641,4355,598,280,14231,2708,0
1500,60000,2,1,1,37,-1,2,0,-1,-1,-1,23148,26609,27342,26946,25094,23022,23148,1176,1992,26946,25094,23022,0
1501,230000,2,1,1,37,0,-1,-1,-2,3,8,338,330,274,239,251,241,24,330,274,4,2,7,0
1502,100000,2,3,1,35,-1,-1,-1,3,0,1,1765,1942,1927,1874,2068,2283,1765,1942,1927,87,552,24,0
1503,200000,1,2,1,40,-1,-1,0,1,0,3,15859,15235,15678,14706,13852,15908,15859,15235,2901,19,2371,99,0
1504,130000,1,1,1,35,-1,-1,-1,-1,-1,-1,62297,68410,73388,68217,64885,72860,62297,68410,73388,68217,64885,72860,0
1505,280000,1,3,2,36,0,2,0,-1,0,-1,74362,68932,73658,85766,82353,80571,17255,796,11290,85766,15806,80571,0
1506,410000,2,2,1,27,-1,0,1,2,1,3,342316,354251,328252,267755,258834,242754,342316,26591,3472,2116,4029,6377,0
1507,150000,2,1,1,27,3,2,0,1,0,0,39087,38723,39830,36597,37370,37520,1138,1655,10542,209,10012,10617,1
1508,240000,2,2,2,29,1,1,1,0,0,1,112974,104480,113723,119467,133395,150423,2131,2826,4940,32728,6718,4031,0
1509,130000,2,3,1,37,0,3,2,2,1,1,16622,16298,15426,15536,15761,16950,2186,436,696,212,589,829,0
1510,330000,2,2,1,32,0,-1,0,0,-1,0,78658,75770,77545,76344,73965,76945,7685,75770,9621,18460,73965,22999,0
1511,50000,2,2,1,59,0,1,3,1,-1,0,9815,10190,9588,9177,9243,10043,1877,83,353,276,9243,2624,0
1512,200000,2,2,1,39,-1,1,-1,0,1,0,77767,78483,84498,88412,92938,78323,77767,3733,84498,5869,271,10050,0
1513,100000,2,2,1,49,7,1,2,3,0,0,43120,44717,42235,45726,45935,47827,1002,127,2002,702,6328,10856,1
1514,200000,1,2,1,49,2,0,0,8,2,5,18220,18084,20004,21493,20071,20202,601,2938,2132,1,397,238,0
1515,120000,1,2,1,39,-1,-1,0,1,-1,0,18655,15638,13783,15595,16367,15738,18655,15638,3563,548,16367,2639,0
1516,180000,1,1,1,35,3,0,-1,1,0,4,71841,80640,74258,69760,70229,77689,1828,12966,74258,3404,19193,284,1
1517,100000,2,2,2,27,1,-1,4,0,0,2,17533,17145,19107,19925,20171,18725,790,17145,568,2862,3240,640,0
1518,20000,2,1,1,29,2,-1,0,1,5,0,2625,2820,2861,2693,2809,3130,115,2820,802,74,2,507,0
1519,310000,1,2,1,43,3,0,0,-1,0,0,217511,212110,177964,176467,177520,162742,3678,26868,37122,176467,27848,8869,1
1520,40000,2,2,1,37,1,2,3,2,0,2,14896,14974,13362,12482,12820,12835,701,499,599,576,2574,124,0
1521,60000,1,2,2,29,1,0,-1,2,-1,0,10596,10700,11837,13190,12442,12926,183,2163,11837,288,12442,2872,0
1522,180000,2,2,2,33,3,-1,0,4,2,-1,91870,88101,91322,100873,100948,87482,3057,88101,20007,3005,909,87482,1
1523,180000,1,2,1,38,0,-1,2,-1,-1,1,50939,54748,50116,47197,41251,49269,3758,54748,139,47197,41251,746,0
1524,260000,1,1,2,35,0,1,1,-1,-1,2,110665,121438,103003,98267,94595,97305,10382,155,3576,98267,94595,2062,0
1525,180000,2,2,2,33,2,0,8,3,-1,-1,14580,15374,15070,14670,17203,16716,120,2888,494,84,17203,16716,0
1526,300000,1,3,1,34,0,0,4,1,1,0,106829,104853,114876,132800,140215,131051,24976,8021,4046,790,5564,36323,0
1527,230000,1,3,1,21,0,2,3,-1,0,-1,74510,84555,77233,77893,74423,84096,20703,4037,1344,77893,21633,84096,0
1528,40000,1,2,1,35,0,-1,-1,0,-1,5,11023,10859,9678,9731,10472,8537,2821,10859,9678,1952,10472,29,0
1529,150000,2,1,2,25,3,1,3,-1,2,0,11776,13906,14038,12750,14861,15788,302,168,359,12750,641,2935,0
1530,90000,2,1,2,38,0,4,3,0,2,0,34777,36507,36009,37919,39753,35323,8020,552,794,4546,780,3589,0
1531,450000,1,1,2,36,2,1,6,-1,0,6,272361,266000,231072,220233,234077,259166,200,9628,2094,220233,44064,8410,1
1532,90000,2,2,2,42,2,3,-1,0,1,-1,10996,12411,10643,11415,12729,12870,442,285,10643,3314,629,12870,0
1533,230000,2,1,1,42,-2,-1,-2,0,0,-1,23483,24961,25151,23780,20872,20561,1803,24961,1799,5052,2039,20561,0
1534,50000,1,3,2,51,3,0,-1,0,0,0,2931,2590,2759,2596,2453,2403,134,377,2759,360,200,328,0
1535,120000,2,3,2,21,0,0,3,4,5,3,18202,17547,17197,15574,17484,19124,5016,3213,808,747,790,362,0
1536,140000,1,1,1,34,0,0,1,2,2,0,44676,45431,44165,46570,47236,50974,11259,11724,1155,973,1315,12186,0
1537,50000,1,2,2,21,0,1,0,3,0,-1,9672,10327,10258,10495,11347,11084,829,88,722,274,2447,11084,0
1538,110000,2,2,1,40,3,-1,2,0,4,1,60226,58818,61452,62010,56773,52233,658,58818,1969,11768,2473,2573,0
1539,180000,1,1,1,33,-1,2,1,2,5,-1,121273,103030,118613,141062,128491,133296,121273,3204,4636,6740,3020,133296,0
1540,270000,2,2,2,31,0,0,5,0,2,-1,105053,108160,115860,119477,103085,102465,29407,8703,5546,28944,4721,102465,0
1541,250000,2,2,2,37,-1,0,1,0,2,3,43545,52164,49490,49022,52223,56399,43545,14810,2361,5447,197,1523,0
1542,140000,1,1,2,25,2,1,-1,2,1,1,14351,14504,15012,15842,14502,14835,212,17,15012,436,679,540,0
1543,180000,2,2,2,52,-1,0,-1,5,-1,0,76767,81265,81965,85817,74725,77459,76767,20802,81965,2790,74725,15772,0
1544,60000,1,4,1,33,-1,2,3,-1,0,4,6233,6141,6330,5690,6558,7100,6233,105,314,5690,873,215,0
1545,40000,2,2,1,36,-1,-1,0,1,0,2,17855,17650,16714,15243,13726,12819,17855,17650,3662,125,927,311,0
1546,130000,2,2,2,34,3,0,-1,2,1,3,11531,12266,11613,12497,13966,13420,323,1529,11613,416,258,611,1
1547,50000,2,1,1,43,0,0,0,0,2,0,6051,6710,6785,6877,6286,6481,611,1766,1006,1351,76,1167,0
1548,30000,2,3,1,24,-2,0,-1,-1,0,2,16387,17136,16892,16588,14904,14188,996,4993,16892,16588,3640,658,0
1549,110000,1,3,2,43,2,0,0,0,-1,-1,7670,9058,9424,9703,10079,10125,230,705,1039,1302,10079,10125,0
1550,110000,2,1,2,30,1,3,0,-1,0,2,36653,35214,34167,38999,37507,40005,312,1531,3716,38999,5500,1700,0
1551,80000,2,3,1,30,0,7,0,3,0,3,53705,51847,54398,54718,50400,52845,12023,534,6398,1871,4600,1415,0
1552,170000,2,1,1,43,8,0,-1,0,0,0,32990,32490,32710,31198,31762,30193,1376,3773,32710,1823,3949,7039,1
1553,190000,2,1,2,33,0,0,0,2,0,-2,143855,146981,161339,163258,172785,168236,15494,10335,13468,1884,25297,11004,0
1554,180000,2,2,1,41,0,-1,-1,-1,4,3,20584,21341,21907,20719,20723,23270,1715,21341,21907,20719,300,6,0
1555,110000,1,2,2,41,0,1,-2,0,3,-2,49566,56344,58535,52036,56236,58056,8690,434,1352,8964,1803,2751,0
1556,100000,1,2,1,32,0,3,5,8,5,-1,8414,8892,8625,8529,7807,7466,2395,224,4,344,223,7466,0
1557,60000,2,2,2,37,5,5,3,4,2,1,27490,30849,31015,34130,31974,33933,312,789,1442,751,39,280,1
1558,120000,2,1,1,31,-2,0,4,-1,-1,-1,19172,21355,20962,21392,19904,17018,1184,2669,301,21392,19904,17018,0
1559,220000,2,1,2,35,2,4,1,0,0,3,70510,62058,53262,57328,62421,74276,2669,2962,1919,3432,10069,1803,1
1560,120000,2,2,1,39,0,-1,2,0,0,4,103170,93897,87200,84579,84265,78305,11853,93897,1230,12131,16664,2974,0
1561,140000,1,1,2,26,0,2,1,1,2,0,52131,43722,42365,44598,46012,40627,15491,680,1369,75,957,7743,0
1562,160000,1,1,2,39,0,0,-1,3,-1,-1,106706,122216,110997,115019,108730,112261,22260,33165,110997,938,108730,112261,0
1563,120000,2,1,2,38,-1,6,-1,0,2,0,44547,43578,40445,38241,43957,42098,44547,2012,40445,2550,169,3054,0
1564,80000,1,2,1,21,0,0,0,2,-1,0,24147,21338,22207,21724,20461,18953,3658,5348,2469,825,20461,2023,0
1565,130000,2,3,1,28,-2,-1,-1,2,3,-1,77605,84166,85607,90062,86910,89631,3015,84166,85607,1313,1354,89631,0
1566,160000,2,1,1,29,2,1,-2,-1,-1,0,114212,105029,97087,99592,107706,120198,2457,4324,2350,99592,107706,9206,0
1567,190000,2,1,1,31,1,0,5,0,0,1,69483,68988,69885,76344,71248,75652,2154,8254,1507,16710,6043,3123,0
1568,570000,1,2,2,26,0,0,0,3,1,-1,330079,322774,301570,327490,339272,336330,58515,22256,76947,11734,10110,336330,0
1569,140000,2,3,1,44,-1,-1,-1,4,6,0,90742,88032,90854,98980,100421,96855,90742,88032,90854,2573,3768,12511,0
1570,180000,2,1,2,45,0,2,-1,6,4,2,54465,62947,56716,60786,57943,60801,15164,473,56716,608,1647,236,0
1571,80000,2,3,1,28,0,-1,-1,3,-2,4,38153,36437,34941,31723,32288,33420,8994,36437,34941,1215,1861,27,0
1572,140000,1,2,1,24,2,-1,-1,7,4,-1,1462,1346,1606,1472,1344,1251,25,1346,1606,49,21,1251,0
1573,70000,2,3,1,35,0,0,2,1,2,0,36688,39279,36740,39327,39148,39891,2065,3436,1441,1036,199,5749,1
1574,50000,2,1,1,47,2,-1,2,0,3,0,6617,6790,6685,7050,6868,6498,190,6790,228,514,84,669,1
1575,60000,1,3,1,55,1,0,0,0,1,2,7636,7529,8901,8471,7853,8555,177,642,2573,1085,131,201,0
1576,130000,1,2,2,29,0,-1,2,-1,1,0,16794,14291,11936,10751,10049,10732,2039,14291,596,10751,483,1944,0
1577,40000,1,3,2,21,3,-1,-1,0,0,0,5250,4902,5049,5078,4515,4139,79,4902,5049,868,960,289,0
1578,160000,2,2,2,21,1,0,0,1,2,0,26065,27040,28108,28913,25714,23039,1267,7989,2575,177,58,5535,0
1579,140000,2,2,1,21,5,0,1,-1,2,0,26767,25114,24998,23065,23372,23959,684,6966,944,23065,215,2362,1
1580,50000,2,2,2,39,0,-1,0,0,1,7,42826,47667,49503,45702,42559,39549,5337,47667,6218,9157,1600,788,0
1581,110000,1,2,2,36,0,-1,2,5,2,3,31180,30880,29160,27472,25892,27680,2853,30880,1232,1043,124,1218,0
1582,110000,1,2,1,37,1,1,3,0,2,0,52225,52686,49747,54162,47742,46732,798,2210,1901,2898,2253,5297,0
1583,220000,2,2,2,45,0,1,1,8,2,0,158843,158045,174505,179814,203956,196625,33846,5267,656,5448,377,10531,0
1584,80000,2,2,2,50,0,-1,1,2,1,-1,27804,28572,27803,28462,30911,31090,4797,28572,115,347,581,31090,0
1585,320000,2,3,1,43,0,-1,2,-1,0,1,154376,169828,162209,177981,186888,191839,29414,169828,3372,177981,56015,1389,0
1586,110000,1,1,1,42,2,0,6,1,5,3,6448,6990,6817,6796,7767,8301,93,1547,118,62,16,307,0
1587,100000,2,2,2,21,1,-1,-1,-2,0,2,54971,51596,50014,52448,52051,45752,65,51596,50014,2592,7436,985,0
1588,30000,2,3,1,30,0,-1,0,1,0,0,10281,9821,9042,8558,8077,7181,2788,9821,1350,82,1878,2044,0
1589,10000,2,2,2,48,0,2,5,0,4,2,5286,5234,5353,5754,4917,5334,1295,185,249,496,176,121,0
1590,100000,2,2,1,30,1,0,-1,-1,0,3,21449,20743,21628,21861,19314,18816,277,3623,21628,21861,5598,444,0
1591,40000,2,3,1,45,4,-1,-1,2,0,2,2007,1955,2346,2562,2757,2941,70,1955,2346,14,196,37,1
1592,60000,2,2,1,36,2,-1,2,0,0,2,9621,9196,8937,9951,10301,10748,349,9196,106,2502,2255,108,1
1593,110000,1,2,1,42,0,2,3,3,1,3,19955,21590,17259,16437,17780,18593,5775,557,192,775,15,526,0
1594,280000,1,3,2,27,1,-1,-1,0,0,-1,78346,80669,70185,66910,69919,66659,918,80669,70185,17297,4328,66659,1
1595,110000,2,3,2,42,-1,0,0,3,2,1,84590,81286,78500,71748,68418,63567,84590,16046,22805,3084,1206,1635,0
1596,110000,2,2,1,29,3,2,0,3,0,2,87563,89528,75228,68552,60863,61652,387,2008,4868,3151,11358,891,0
1597,90000,1,1,1,37,0,8,-1,0,-1,1,65645,56883,54083,52145,58751,55489,5315,1949,54083,6506,58751,2241,0
